pais;ouro;prata;bronze;total;porcentagem
Estados Unidos;46;37;38;121;12.42
Inglaterra;27;23;17;67;6.88
China;26;18;26;70;7.19
Russia;19;18;19;56;5.75
Alemanha;17;10;15;42;4.31
Outros;172;201;245;618;63.45
