pais;ouro;prata;bronze;total;porcentagem
China;107;81;51;239;14.97
Inglaterra;64;39;44;147;9.2
Ucrania;41;37;39;117;7.33
Estados Unidos;40;44;31;115;7.2
Australia;22;30;29;81;5.07
Outros;255;298;345;898;56.23
